NUTS,air passengers,GDP,farm labour force,deaths,hosp discharges resp diseases,stock of vehicles,thousand hours worked,students tertiary ed,health personnel,students enrolled,utilised agricultural area,hospital beds,education and training,crude death rate,longterm care beds,regional GWA,pop density,unemployment rate,pct leavers from education,NEET rate,compensation of employees,life expectancy,covid_severity,Covid_Cases_Density
FRY3,-0.42328890887347026,-0.9514306339652006,-0.3433639417015345,-3.009638082164733,-0.6461719627831565,-0.7725757763852902,-1.3588464118671952,-0.9154495590801908,-1.145646120931816,2.141080014928979,-0.7882938691481804,-0.5547958263768661,-0.9884379420716436,-2.9337922319019833,-0.27789745692576573,-0.6770875426172143,-0.41326769298270527,1.7991278732305902,3.180080449337777,3.5881378026294968,-0.5965360984086557,-0.7663431338098844,below_than_avg,0.00477635150614747
FRY4,-0.3461011848646698,-0.43634817492130074,-0.3879451332224289,-1.975770381084543,-0.43595640538621794,-0.2132095792020012,-0.723672791482147,-0.481949737008245,-0.3719839723017734,1.4643360409996222,-0.8281229288955166,-0.4126747365938711,-0.3364126153096636,-2.0301570808119314,3.0729566910994146,0.05421417615647386,-0.13684996576947392,2.067433140572366,1.0452141196484366,2.0958846403308398,-0.09643500127508402,-0.15334737658188888,below_than_avg,0.0002182391948257471
HR03,-0.1154770127988612,-1.1048591714314648,0.2503062772233381,0.7363666796956811,-0.5378041137832015,-0.2794273515658414,-0.008171875984290887,-0.085038030442292,-0.43467963735041826,-0.8900076797083132,-0.20773052595477595,-0.07231465008085722,0.0332894938937239,0.792455660503542,0.04743075947611969,0.020200142725139023,-0.3707915829873329,-0.12372654271880637,-2.033920009711188,-0.4694494476657269,-1.0342135816330587,-0.7254767499946811,below_than_avg,0.0019187626746794662
HR04,-0.480009490700242,-1.0460673735461323,1.4289402053278395,1.1568618829809283,-0.407147014366816,-0.45737154299374677,-0.037923098646560335,0.17988859197931792,-0.2337496830684198,-0.8312829324413346,-0.05645485991690763,0.07796954746810054,0.0332894938937239,1.1868124430760798,-0.003270006325914773,0.15625627645047596,-0.346727170860677,-0.12372654271880637,-1.7875892793624182,0.23475990982352657,-0.9812710545238701,-1.5428044262986753,below_than_avg,0.0016473181905725864
ITC1,-0.5089114004648839,0.15328221465625783,-0.4058545620128313,0.8235565331446983,-0.41150737080332317,0.4447613812021812,0.06489717344049535,-0.3139972075179627,-0.19323119930169574,-0.5184761069809508,-0.4640249597870296,-0.5648682712135115,-0.5423153500766046,0.7413608471375225,-0.6237993066985048,-0.6260664924702132,-0.2768757732447129,-0.12372654271880637,0.1420014417029469,0.7377665937444223,-0.1085606383036712,0.6639802997221051,higher_than_avg,0.007473527776495592
ITC2,4.0,0.6106414545374644,-1.0171120865133576,0.30328858464750474,-0.29050885368060425,4.0,0.39572374372097463,-1.1793025068117358,-0.17279288311365285,-0.5084578090354699,-0.9331241026763154,-0.5309982918727042,-0.45652254392371244,0.46576611033812665,0.9554613087558673,-1.2213120775185644,-0.3848426155713534,-0.5038256714529894,0.11326285649559029,0.41919569392785483,0.013442693054971895,0.7865794511677031,higher_than_avg,0.009749348177295775
ITC3,-0.5019909238447583,0.19666974774296553,-0.6517325367961857,1.5561578190807495,-0.2457791510305319,0.0190891168005135,0.01677007572445552,-0.6356211420875063,0.388052251555745,-0.6921697859446944,-0.8809291797996167,-0.5516135979257282,-0.25061980915677146,1.5890588659477816,-0.4861189225860295,-1.3063471610969002,-0.18643234511768428,0.0551436355090446,-0.12485684950822076,0.5365639201760639,-0.188581261277136,0.7457130673525058,higher_than_avg,0.006926036151010017
ITC4,-0.17467598451370947,0.6653563425575286,-0.7685088717017468,-0.20383430318776946,-0.4005109940739171,0.21575197721657513,0.2534160080612413,-0.22106165809069686,-0.17296804862816748,-0.3609770788400272,-0.7370252301289617,-0.5544637677558779,-0.3878882990013987,-0.22096654871774507,-0.5969721035802729,-0.3879682584508718,-0.06409145796371246,-0.6826958496808402,0.12147388084054947,0.5868645885681533,0.2815425949829527,1.0317777540589048,higher_than_avg,0.00974460294694584
ITF1,-0.5414936088001407,-0.26338503904008453,-0.02575983015178673,0.3729564390186625,-0.3902038009459341,0.4907577006605923,-0.13387451458561683,-0.0037659619364042224,0.1875219206823717,-0.6032637904544048,-0.23423898098435753,-0.7134645041057784,-0.5594739113071829,0.31502806208265527,0.1652504579088105,-1.37437522795957,-0.3187058587534637,0.2787313582938581,-0.6791009927929531,0.5533308096400937,-0.4778819426315078,0.8274458349829062,below_than_avg,0.0027667412965506153
ITF2,2.587520053998547,-0.5263282417432646,0.8447291007321042,0.7641015925444025,-0.6198746833514635,0.6490108069861412,-0.27852038838838294,-0.4153239540906324,0.06613178135062389,-0.7208866727967819,0.30274111609810783,-0.6937900308122212,-0.5251567888460262,0.5918751227390622,2.392173125864463,-0.8811717432052208,-0.36093970956635296,0.3234489028508207,-0.5559356276185682,2.2300197560430783,-0.7160568616906351,0.7865794511677031,below_than_avg,0.0016771153615780857
ITF3,-0.4272639564612201,-0.6838474146291664,-0.46280121757324294,-0.4402238145346538,-0.5212798075666201,0.210381743457249,-0.546829093811653,0.06641244691615986,-0.06950044510631757,-0.27782103671472125,-0.7431434960933649,-0.8265304645522966,-0.8340108909964379,-0.4662133040489252,3.195644803765407,-1.1872980440872296,-0.07507387423628024,2.2015857742432536,1.2299621674100145,2.6491919926438245,-0.7936771246620032,0.17358369393970757,below_than_avg,0.0009546329634954867
ITF4,-0.41030950682907047,-0.6572874628390097,0.13289790935263104,-0.2344668513048237,-0.46120886049397936,0.18055172458703578,-0.3762173991717065,-0.6159850535898181,-0.10368217616293766,-0.48976425584078814,-0.29430195011037025,-0.7404996101645763,-0.799693768535281,-0.31468211735068086,0.0677395837045763,-0.9491998100678906,-0.24901596725915498,1.3295936553824814,0.8809936327492569,1.7605468510502427,-0.7423749109664459,0.8274458349829062,below_than_avg,0.0012480696531130282
