NUTS,air passengers per100k,GDP per100k,farm labour force per100k,deaths per100k,hosp discharges resp diseases per100k,stock of vehicles per100k,thousand hours worked per100k,students tertiary ed per100k,health personnel per100k,students enrolled per100k,utilised agricultural area per100k,pct leavers from education,longterm care beds,NEET rate,regional GWA,unemployment rate,pop density,life expectancy,crude death rate,compensation of employees per100k,education and training,hospital beds,covid_severity,covid_density_by100k,Covid_Cases
ES11,194.1839537747466,2384.0035787865872,2845.416548261817,1156.9633892204224,1697.4445273278395,69297.17841242778,69242.42726982097,3682.98285497774,474.76644643364597,5153.423084209529,24255.23349436393,12.0,122.28,9.2,109.6,12.0,92.0,84.0,1199.91,1030.2998010798522,11.6,329.67,below_than_avg,430.5866368286445,11637
ES12,137.89394238290546,2332.431379361448,1986.4579315516062,1265.3854798169396,1706.4498051327953,61745.07973803095,67170.83832646809,3434.9822700777995,398.96005394057704,4935.425395451365,33007.19698419569,8.9,71.78,12.1,106.8,14.1,96.6,83.2,1291.62,1068.9381381275277,11.1,345.79,below_than_avg,287.7615936417643,2932
ES13,201.0687033386677,2436.07526253975,1511.0201446458375,1032.473196563116,1251.2277038675247,64862.94360460724,66993.61937402555,4040.4335254160455,515.1205038565355,5849.708441794817,38282.03877827153,9.1,103.56,10.5,109.7,12.1,110.5,83.9,1048.38,1082.5085681710475,11.9,328.34,below_than_avg,556.1584373304395,3239
ES21,290.20555122609903,3402.984188296946,606.6314686419952,985.1366154166617,1504.4734502804301,56004.09841681977,79246.72633703312,4075.759499857935,561.864989781366,6361.864807061045,8553.595068013072,6.5,107.94,8.2,109.5,9.5,303.7,84.5,1000.89,1557.6404959394977,13.1,325.71,higher_than_avg,1060.9198689164411,23225
ES22,36.557000741802476,3194.70258595084,1724.2718683216835,848.1224172098173,1237.6067959464378,64669.18199141215,78383.35803469564,4172.524672167479,537.6925525773447,6699.8319901174245,83302.74223201815,10.8,96.2,9.9,111.1,10.1,63.1,85.0,899.51,1450.2619156782314,13.6,335.41,higher_than_avg,1287.568030293568,8453
ES23,5959.732617926971,2806.492556919074,2623.99068150957,996.1035795790854,1647.8281650107142,61711.57626190529,76087.91160095084,10987.20923239568,348.1772918770238,6404.246496861657,68318.715162488,14.6,97.33,9.1,106.3,10.8,62.6,84.2,1023.22,1155.220601966885,10.5,323.43,higher_than_avg,1515.8373189082427,4789
ES24,25.933356535544107,2859.7381257173956,2966.1746344712187,1023.8038145336543,1410.4739189360857,59608.53410386723,78610.90418714714,3962.9175552286533,501.00238060696086,6163.9454181772535,170009.313457608,14.2,86.34,11.8,109.9,11.7,27.9,84.4,1070.73,1279.2210672064816,10.9,362.29,higher_than_avg,1747.7578921969161,23251
ES30,885.5253867309475,3559.023267588232,84.77756560331095,699.044384909119,1386.794975239615,68561.05496491217,87188.95970812804,6060.484346682144,515.7795949292345,6583.037254108007,4507.884017176053,10.0,122.6,9.9,114.1,12.5,839.7,85.8,706.52,1742.9644995426163,12.4,273.1,higher_than_avg,1474.9962502230599,99519
ES41,10.077845106852227,2490.0951856634742,2805.139034700686,1195.9736926598723,1629.4459642186528,69246.41455673931,70849.00431306784,4559.641895018004,466.4126661022518,5344.672713651357,220533.23460931898,15.4,87.57,11.7,108.0,12.1,25.6,84.7,1214.06,1070.4337262998858,10.4,349.97,higher_than_avg,1016.0300203181017,24398
ES42,920.4666734362847,2093.331195363212,3683.5986730245204,951.673727508538,1292.3149425534598,70221.1723572196,61893.44304770248,2595.384917728889,281.8307412075164,6569.858336665764,197785.5387831365,18.7,44.91,12.4,110.6,17.7,25.8,83.9,962.47,874.8632399829092,9.1,233.41,higher_than_avg,1018.159383717076,20827
ES43,1772.976947486048,1947.01778472079,5185.601598525018,1060.3787833846054,1409.4440662197653,72113.94952254236,62319.43381177971,3072.0004821187613,307.44487414534564,6054.2628432388965,234630.8166169011,18.4,84.51,16.6,108.7,21.8,26.0,83.1,1072.25,829.2254366611769,10.3,335.24,below_than_avg,384.28255172654076,4081
ES51,714.7218082606803,3094.663232775091,732.454927559489,843.4927423582931,1608.2253446915902,57880.57469419844,80382.89032333605,4953.512307595002,486.88324158807205,6775.4237000199155,14704.898418106444,17.4,115.07,17.0,110.7,12.6,238.1,84.3,884.26,1446.366526979693,10.0,384.0,higher_than_avg,1270.564276480892,97228
ES52,465.2895876418004,2306.7684215486684,1262.3920310831975,875.184243820413,1290.8649463219933,62865.77108213581,68005.48024085064,4435.610947835909,390.9060849125164,6539.385577553799,12680.587774819802,15.5,181.74,12.0,110.9,16.2,216.2,83.5,913.8,1039.830069187991,12.0,231.9,below_than_avg,370.46603123550386,18632
