NUTS,air passengers per100k,GDP per100k,farm labour force per100k,deaths per100k,hosp discharges resp diseases per100k,stock of vehicles per100k,thousand hours worked per100k,students tertiary ed per100k,health personnel per100k,students enrolled per100k,utilised agricultural area per100k,hospital beds,longterm care beds,crude death rate,pop density,NEET rate,unemployment rate,compensation of employees per100k,pct leavers from education,education and training,life expectancy,regional GWA,covid_severity,covid_density_by100k,Covid_Cases
FI13,236.10644974288806,3633.2753628630685,3609.659241596042,1097.2143663499023,2519.6400744238517,85374.30852025094,70603.56334545158,5334.6914539322515,707.3826149446052,6956.612897295258,104576.0684442713,388.16,75.49,1113.12,6.3,10.5,8.8,1634.787601986173,8.6,26.1,82.3,109.8,below_than_avg,153.64912766568327,1964
FI18,39.60675282078423,3895.910842152727,3051.896162410319,1133.014274099621,2803.5463014355237,82782.9010249009,70877.43668577656,4872.152883806844,787.0885742604396,6301.303802074175,124703.8198319281,342.38,77.98,1136.41,36.6,8.8,7.7,1702.5001871527882,8.2,24.8,82.3,109.7,below_than_avg,670.1810768510281,7699
FI19,48.380592056588604,3841.936906485466,1401.3688733632562,1035.4317115559256,2336.120478417556,85991.96896678784,72112.68833614283,5729.219556494315,655.8599498487996,6836.895750341639,57387.94126436548,333.02,78.0,1044.96,23.7,10.5,7.7,1761.4459631582154,8.1,25.6,82.3,106.2,below_than_avg,555.1074527872154,7653
FI1A,236.10644974288806,3633.2753628630685,3609.659241596042,1097.2143663499023,2519.6400744238517,85374.30852025094,70603.56334545158,5334.6914539322515,707.3826149446052,6956.612897295258,104576.0684442713,388.16,75.49,1113.12,6.3,10.5,8.8,1634.787601986173,8.6,26.1,82.3,109.8,below_than_avg,211.69783068398112,2706
FI1B,1304.8868898785304,5619.912707689122,198.84892512095163,731.894243146074,1906.0481260627148,63483.11115714096,85956.52842918226,5424.018701267957,535.1182183958617,6720.442675583305,10739.617393362825,274.76,111.19,728.54,184.7,7.6,7.2,2551.7957064019292,8.0,30.8,82.3,111.0,below_than_avg,1489.7690452588438,25173
FR10,878.5786861664475,6041.295256573272,67.44466954023807,616.5858401828182,981.1043466665777,51534.82996499141,79258.92781524749,5806.546721460918,386.2895481833587,6761.096254933366,4650.672001927827,534.57,180.78,613.93,1026.8,9.8,8.2,3110.243803937939,5.9,12.7,82.2,107.3,below_than_avg,278.9638448570836,34289
FR23,12.524777934178218,3818.108444657986,1287.1850093800024,1042.2124250625936,1275.716538018586,51617.836128823525,60608.529524674115,3769.8495095115877,287.7982707959602,6322.809703051096,60183.51968593289,1167.79,112.17,800.258,245.95999999999998,17.130000000000003,11.0,1957.3056878789123,11.290000000000001,9.85,82.2,106.05,below_than_avg,193.18338206427654,6401
FR24,7.600188016958943,2974.975893762623,1338.0228442164128,1056.2312577414734,1091.0362213268293,62170.74621374223,58953.96000975942,2588.000433405594,260.35515873479864,6288.473515878157,89756.66146735856,597.56,84.19,1017.94,65.4,11.6,8.9,1486.8403718869436,9.0,12.3,82.7,104.3,below_than_avg,196.86435730081857,5051
FR26,464.1812878576155,4527.094556948481,1629.6197160367965,1080.32980296774,1182.565717080984,61202.773144697276,71862.9520593362,4469.874400477793,300.94646051535915,5936.01685013904,86432.10973488442,1256.2,67.02,800.258,245.95999999999998,17.130000000000003,11.0,2320.7585783160384,11.290000000000001,9.85,82.2,106.05,below_than_avg,343.02886688468885,9586
FR30,102.94273601551154,2112.8049139958866,685.8952252039358,929.2903314158217,1357.8955191351743,28563.467854193404,33538.596628642095,2086.1001420389307,300.09377408545214,6789.661302699909,35572.360109188776,1164.71,130.09,800.258,245.95999999999998,17.130000000000003,11.0,1083.1030955468582,11.290000000000001,9.85,82.2,106.05,below_than_avg,264.83872610869275,15858
